year,level_1,value
1980,Crude Marriage Rate,9.8
1981,Crude Marriage Rate,10.6
1982,Crude Marriage Rate,9.7
1983,Crude Marriage Rate,9
1984,Crude Marriage Rate,9.8
1985,Crude Marriage Rate,9.2
1986,Crude Marriage Rate,7.7
1987,Crude Marriage Rate,8.9
1988,Crude Marriage Rate,9.3
1989,Crude Marriage Rate,8.7
1990,Crude Marriage Rate,8.6
1991,Crude Marriage Rate,8.7
1992,Crude Marriage Rate,8.9
1993,Crude Marriage Rate,8.6
1994,Crude Marriage Rate,8.2
1995,Crude Marriage Rate,8.1
1996,Crude Marriage Rate,7.7
1997,Crude Marriage Rate,8.1
1998,Crude Marriage Rate,7.1
1999,Crude Marriage Rate,7.8
2000,Crude Marriage Rate,6.7
2001,Crude Marriage Rate,6.5
2002,Crude Marriage Rate,6.6
2003,Crude Marriage Rate,6.3
2004,Crude Marriage Rate,6.3
2005,Crude Marriage Rate,6.4
2006,Crude Marriage Rate,6.5
2007,Crude Marriage Rate,6.4
2008,Crude Marriage Rate,6.5
2009,Crude Marriage Rate,6.6
2010,Crude Marriage Rate,6.1
2011,Crude Marriage Rate,6.7
2012,Crude Marriage Rate,6.7
2013,Crude Marriage Rate,6.3
2014,Crude Marriage Rate,6.8
2015,Crude Marriage Rate,6.7
