year,level_1,level_2,value
1980,Male General Marriage Rate,15 - 19 Years,1.7
1980,Male General Marriage Rate,20 - 24 Years,49.9
1980,Male General Marriage Rate,25 - 29 Years,140.1
1980,Male General Marriage Rate,30 - 34 Years,138
1980,Male General Marriage Rate,35 - 39 Years,106.3
1980,Male General Marriage Rate,40 - 44 Years,62.8
1980,Male General Marriage Rate,45 - 49 Years,42.3
1981,Male General Marriage Rate,15 - 19 Years,1.6
1981,Male General Marriage Rate,20 - 24 Years,51.8
1981,Male General Marriage Rate,25 - 29 Years,138
1981,Male General Marriage Rate,30 - 34 Years,143.8
1981,Male General Marriage Rate,35 - 39 Years,123.3
1981,Male General Marriage Rate,40 - 44 Years,94.6
1981,Male General Marriage Rate,45 - 49 Years,60.4
1982,Male General Marriage Rate,15 - 19 Years,1.6
1982,Male General Marriage Rate,20 - 24 Years,46
1982,Male General Marriage Rate,25 - 29 Years,126.3
1982,Male General Marriage Rate,30 - 34 Years,131.2
1982,Male General Marriage Rate,35 - 39 Years,122.2
1982,Male General Marriage Rate,40 - 44 Years,87.3
1982,Male General Marriage Rate,45 - 49 Years,58.9
1983,Male General Marriage Rate,15 - 19 Years,1.4
1983,Male General Marriage Rate,20 - 24 Years,38.8
1983,Male General Marriage Rate,25 - 29 Years,104.9
1983,Male General Marriage Rate,30 - 34 Years,112.1
1983,Male General Marriage Rate,35 - 39 Years,84.8
1983,Male General Marriage Rate,40 - 44 Years,59.4
1983,Male General Marriage Rate,45 - 49 Years,46
1984,Male General Marriage Rate,15 - 19 Years,1.5
1984,Male General Marriage Rate,20 - 24 Years,44.7
1984,Male General Marriage Rate,25 - 29 Years,122.2
1984,Male General Marriage Rate,30 - 34 Years,130.7
1984,Male General Marriage Rate,35 - 39 Years,103.3
1984,Male General Marriage Rate,40 - 44 Years,65.1
1984,Male General Marriage Rate,45 - 49 Years,48.3
1985,Male General Marriage Rate,15 - 19 Years,1.2
1985,Male General Marriage Rate,20 - 24 Years,43.8
