year,level_1,value
1980,Male General Marriage Rate,54.9
1981,Male General Marriage Rate,58.4
1982,Male General Marriage Rate,54.5
1983,Male General Marriage Rate,46.9
1984,Male General Marriage Rate,57.7
1985,Male General Marriage Rate,54.3
1986,Male General Marriage Rate,45.6
1987,Male General Marriage Rate,53.3
1988,Male General Marriage Rate,56
1989,Male General Marriage Rate,52.6
1990,Male General Marriage Rate,52.2
1991,Male General Marriage Rate,55.5
1992,Male General Marriage Rate,56.7
1993,Male General Marriage Rate,55.3
1994,Male General Marriage Rate,54.7
1995,Male General Marriage Rate,54.6
1996,Male General Marriage Rate,53.2
1997,Male General Marriage Rate,56.7
1998,Male General Marriage Rate,49.4
1999,Male General Marriage Rate,54.7
2000,Male General Marriage Rate,47.4
2001,Male General Marriage Rate,46.7
2002,Male General Marriage Rate,47.5
2003,Male General Marriage Rate,44.9
2004,Male General Marriage Rate,44
2005,Male General Marriage Rate,43.8
2006,Male General Marriage Rate,43.7
2007,Male General Marriage Rate,43.5
2008,Male General Marriage Rate,43.5
2009,Male General Marriage Rate,43.4
2010,Male General Marriage Rate,39.3
2011,Male General Marriage Rate,43.5
2012,Male General Marriage Rate,43.8
2013,Male General Marriage Rate,40.5
2014,Male General Marriage Rate,44.4
2015,Male General Marriage Rate,44.2
