year,level_1,level_2,value
1980,Total,Under 5 Years,272
1980,Total,5-9 Years,617
1980,Total,10-14 Years,320
1980,Total,15-19 Years,165
1980,Total,20-24 Years,102
1980,Total,25-29 Years,46
1980,Total,30 Years & Over,29
1981,Total,Under 5 Years,328
1981,Total,5-9 Years,724
1981,Total,10-14 Years,328
1981,Total,15-19 Years,217
1981,Total,20-24 Years,138
1981,Total,25-29 Years,58
1981,Total,30 Years & Over,49
1982,Total,Under 5 Years,316
1982,Total,5-9 Years,709
1982,Total,10-14 Years,379
1982,Total,15-19 Years,192
1982,Total,20-24 Years,126
1982,Total,25-29 Years,56
1982,Total,30 Years & Over,64
1983,Total,Under 5 Years,431
1983,Total,5-9 Years,826
1983,Total,10-14 Years,372
1983,Total,15-19 Years,206
1983,Total,20-24 Years,131
1983,Total,25-29 Years,56
1983,Total,30 Years & Over,47
1984,Total,Under 5 Years,402
1984,Total,5-9 Years,719
1984,Total,10-14 Years,461
1984,Total,15-19 Years,190
1984,Total,20-24 Years,131
1984,Total,25-29 Years,67
1984,Total,30 Years & Over,58
1985,Total,Under 5 Years,477
1985,Total,5-9 Years,698
1985,Total,10-14 Years,445
1985,Total,15-19 Years,208
1985,Total,20-24 Years,106
1985,Total,25-29 Years,62
1985,Total,30 Years & Over,52
1986,Total,Under 5 Years,500
1986,Total,5-9 Years,778
1986,Total,10-14 Years,551
1986,Total,15-19 Years,199
1986,Total,20-24 Years,114
1986,Total,25-29 Years,63
1986,Total,30 Years & Over,66
1987,Total,Under 5 Years,468
1987,Total,5-9 Years,828
1987,Total,10-14 Years,561
1987,Total,15-19 Years,226
1987,Total,20-24 Years,123
1987,Total,25-29 Years,67
1987,Total,30 Years & Over,66
1988,Total,Under 5 Years,535
1988,Total,5-9 Years,860
1988,Total,10-14 Years,598
1988,Total,15-19 Years,286
1988,Total,20-24 Years,120
1988,Total,25-29 Years,70
1988,Total,30 Years & Over,67
1989,Total,Under 5 Years,540
1989,Total,5-9 Years,866
1989,Total,10-14 Years,512
1989,Total,15-19 Years,355
1989,Total,20-24 Years,139
1989,Total,25-29 Years,66
1989,Total,30 Years & Over,63
1990,Total,Under 5 Years,582
1990,Total,5-9 Years,1134
1990,Total,10-14 Years,634
1990,Total,15-19 Years,454
1990,Total,20-24 Years,194
1990,Total,25-29 Years,73
1990,Total,30 Years & Over,79
1991,Total,Under 5 Years,635
1991,Total,5-9 Years,1280
1991,Total,10-14 Years,806
1991,Total,15-19 Years,647
1991,Total,20-24 Years,232
1991,Total,25-29 Years,113
1991,Total,30 Years & Over,100
1992,Total,Under 5 Years,644
1992,Total,5-9 Years,1095
1992,Total,10-14 Years,767
1992,Total,15-19 Years,586
1992,Total,20-24 Years,262
1992,Total,25-29 Years,104
1992,Total,30 Years & Over,109
1993,Total,Under 5 Years,824
1993,Total,5-9 Years,1166
1993,Total,10-14 Years,771
1993,Total,15-19 Years,579
1993,Total,20-24 Years,277
1993,Total,25-29 Years,123
1993,Total,30 Years & Over,86
1994,Total,Under 5 Years,771
1994,Total,5-9 Years,1007
1994,Total,10-14 Years,756
1994,Total,15-19 Years,494
1994,Total,20-24 Years,321
1994,Total,25-29 Years,116
1994,Total,30 Years & Over,90
1995,Total,Under 5 Years,799
1995,Total,5-9 Years,1151
1995,Total,10-14 Years,845
